title,body,preview
,"The First-Time {Niche} Playbook.
(Read this if you want to {Outcome1}, {Outcome2}, and {Outcome3}.)
{Write your thread here}","Beginner Playbook
Thread"
,"Over the past X amount of time, I have read X number of [specific genre].
99% of them weren't worth it.
Save yourself the time and just read/listen/follow these X 🧵👇
Book #1: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #2: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #3: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #4: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #5: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #6: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #7: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #8: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #9: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
Book #10: Title
Most people misunderstand X.
This book teaches you Y.
[Link]
TL;DR: Out of X books, read these 10:
• Title 1
• Title 2
• Title 3
• Title 4
• Title 5
• Title 6
• Title 7
• title 8
• Title 9
• Title 10","The Book Curation Thread
Thread"
,"I asked {X} {Niche} leaders one simple question:
“What early career mistake will you never make again?”
The result: {X} profound mistakes everyone (from intern to executive) should avoid in their career.
Let’s dive in:
Mistake 1: {Mistake1}
Too often, {Role} choose to {WrongDecision}.
Instead, {Role} should be focused on {RightDecision}.
This is what ends up making the biggest difference.
Mistake 2: {Mistake2}
A good {Role} can {GoodOutcome}.
A bad {Role} can {BadOutcome}.
But a legendary {Role} can {GiantOutcome}.
Mistake 3: {Mistake3}
Until you’ve {Milestone}, don’t take your eye off the ball.
{”RelevantQuote”}.
Mistake 4: {Mistake4}
Traditional wisdom says {TraditionalWisdom}.
But that’s only true if you don’t do two things correctly:
{RightDecision1}
{RightDecision2}
Then, {TraditionalWisdom} works great.
Mistake 5: {Mistake5}
We all think we can {Decision}.
Until we can’t.
Which is why it’s much better to {RightDecision} from the very beginning.","Career Mistakes
Thread"
,"I used to see the world the same as the 99%.
But since adopting these {X} contrarian views held by the top 1%, how I view {ReachTopic} has completely changed (and got me to {GiantOutcome}):
{Write your thread here}","Contrarian Views
Thread"
,"Over the past X years, I have [list 3 accomplishments/accolades of credibility].
What most people don’t know?
I use the same X [approaches, templates, techniques, strategies, etc.] every time.
🧵👇
Template #1: One sentence
What’s the fastest way to achieve X?
Do Y.
Success here 100% comes down to:
• Action step
• Action step
• Action step
• Action step
Template #2: One sentence.
This is the formula I use over and over again:
“X + Y = Z”
You can also apply this formula to:
• Unconventional example
• Unconventional example
• Unconventional example
Template #3: One sentence.
People who succeed here do X.
So, here are a few easy ways you can do that.
• Actionable advice
• Actionable advice
• Actionable advice
Template #4: One sentence.
The people who master their craft know something 99% of people don’t.
[Little-known strategy/mindset shift.]
The faster you can adopt this strategy/mindset shift, and abandon the old one (name what it is), the more like you will be to (list 3 benefits).
Template #5: One sentence.
Finally, this is the most important template of all.
All successful X can be reduced down to one thing:
[Name the thing.]
In order to do this, you must:
• Action step
• Action step
• Action step
Voila. You’re now “successful!”
TL;DR - X templates that will help you [list 3 benefits]
• Template #1
• Template #2
• Template #3
• Template #4
• Template #5
If you found this thread valuable:
1. Toss me a follow for more threads on X and Y → @name
2. Here’s another similar thread you might enjoy: [link]","Credibility & Lessons
Thread"
,"2.5 billion blog posts are published each year.
But it’s impossible to read that much content.
So, ignore the 2,499,999,992 that aren’t worth your time.
And just read these 8:
{Write your thread here}","Curated Blog Posts
Thread"
,"The world’s most valuable skill:
{Skill}
But {Obstacle} keeps people from ever learning how to do it—and costs them roughly {Money} in the process.
So, here are {X} {Topic} frameworks that cost you nothing and will save you hundreds of painful hours:
1) {Name}’s {Topic} Framework
This completely changed the way I thought about {Topic}.
{LinkToThread}
2) {Name}’s {Topic} Framework
Hang this up in your room somewhere—and stare at it everyday.
{LinkToThread}
3) {Name}’s {Topic} Framework
I consider this the Bible of {Topic}.
{LinkToThread}
4) {Name}’s {Topic} Framework
Struggling with {Obstacle}?
Read this:
{LinkToThread}
5) {Name}’s {Topic} Framework
Finally, every {Audience} should read this:
{LinkToThread}","Curated Frameworks
Thread"
,"X person is best known for doing Y.
In [year / book / speech / etc.], he/she put together a masterclass on X topic.
These X [ideas / things / tips / lessons / etc.] will change the way you [list 3 benefits to the reader].
Here’s a breakdown of each one: 🧵👇
Tip #1: One sentence
What most people do/think.
What this expert says to do instead.
One quick sentence on why he/she says it works.
Tip #2: One sentence.
If you don’t do this, you will experience:
• Pain point
• Pain point
• Pain point
One final sentence on the benefit you unlock when you fix it.
Tip #3: One sentence.
Why the author says this is so important.
It unlocks:
• Benefit
• Benefit
• Benefit
Tip #4: One sentence.
The easiest way to do this?
One line of actionable advice.
For example, and then tell the reader a micro-story or moment where they can see this advice playing out.
Tip #5: One sentence.
Finally, this is the most important and underrated advice of all.
What separates people who [pain point] from people who [benefit], is they fundamentally understand how to practice X in their lives.
Don’t wait.
Start now.
TL;DR - X tips from @name that will change the way you [list 3 benefits]
• Tip #1
• Tip #2
• Tip #3
• Tip #4
• Tip #5
If you found this thread valuable:
1. Toss me a follow for more threads on X and Y → @name
2. Here’s another similar thread you might enjoy: [link]","Curated List
Thread"
,"The {Status} of {Topic}:
{Name}
Over {TimePeriod}, {Name} has {Achievement}.
So I binged over {X} {Assets} of theirs to study how exactly {Name} reached {Achievement}.
Here’s what I learned–broken down in a simple {X}-step framework you can use to {Outcome}:
Some quick stats on {Name} if you're unfamiliar:
{AchievementStat1}
{AchievementStat2}
{AchievementStat3}
{AchievementStat4}
So... what can we learn?
{Name} creates {Assets} with this simple, 3-part framework:
1) {Step1}
2) {Step2}
3) {Step3}
Now, pair this framework with an unmatched work ethic and you get a potent combination for rapid growth.
Let's dig in:
For {Name}, everything begins with {Step1}.
The reason is because {Reason}.
To do this, {Name} does the following:
{Tactic1}
{Tactic2}
{Tactic3}
Simple, but highly effective.
The next thing {Name} focuses on is {Step2}.
They do this by {Tactic}, and sometimes even {Tactic}.
Which leads us to…
The real reason {Name} is so successful at {Outcome} is because they are obsessive about:
{Tactic}
{Tactic}
{Tactic}
This, combined with {Step1} and {Step2} is what makes them so successful.
So, let's recap what we've learned:
First, study {Step1}.
And remember to {DescriptionStep1}.
Second, study the art of {Step2}. Do this by:
1) {Tactic1}
2) {Tactic2}
3) {Tactic3}
And lastly, don't {Mistake}.
Instead, {Step 3}.
And don’t forget to {DescriptionStep3}.
Do the above, and maybe you will be the next {Status} of {Topic}!","Curated Takeaways
Thread"
,"I am an education junkie.
For example, I have watched over {X} hours watching nearly every TedTalk on the Internet.
Many are interesting. But only a few are worth your time.
Here is a list of my {X} favorites—that will help you {Outcome1}, {Outcome2}, and {Outcome3}:
{Write your thread here}","Curated TedTalks
Thread"
