title,body
Template: ABDCE Storytelling,"[A] When I was (age), I (experienced something).
[B] In this next section, explain what happened. Where were you? Who were you with? What happened, and why did it matter so much to you at the time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?
[B] In one single bolded sentence, share the feeling you felt.
[D] Now, expand on that feeling. Develop it. How did the experience play out in the rest of your life? Did you carry it with you for a long time? How did it impact other things—like say, making friends, forming relationships, trusting other people, or your ability to pursue your dreams? Did you think about it often? What was the image, or the phrase, or the specific moment that came up for you time and time again? How did your interpretation of the event change as time went on?
[D] When did things start to change? What caused the change? How did you start growing in a different direction? What was the moment? Similar to [B], what happened? Where were you? Who were you with? What happened, and why did it matter so much to you at that time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?
[C] In one single bolded sentence, share the final moment of change.
[C] When was ""the transformation complete?"" What did you and your life look like before, and what did you and your life look like after?
[E] Finally, explain to the reader why this story matters. Why did you want to share it? What's the final morale you want the reader to be left with? What should the reader walk away thinking about differently? How can they learn from your story and apply those learnings to their own life?
[E] If you could summarize this story in one single sentence for the reader to end with, what would it be?
ABDCE:
• Action
• Background
• Development
• Climax
• Ending"
{X} Profound Career Mistakes Everyone (From Intern To Executive) Should Avoid In Their Career,"A few {Time} ago, I asked {X} {Niche} leaders one simple question:
“What early career mistake will you never make again?”
What I ended up walking away with was a messy notepad full of notes, a completely new way of seeing the world, and {X} profound mistakes everyone (from intern to executive) should avoid in their career.
Let’s dive in:
Mistake #1: {Mistake1}
Too often, {Role} choose to {WrongDecision}.
They {WhyDecision}. They think {Logic}. Only to end up {BadOutcome}.
Instead, {Role} should be focused on {RightDecision}.
This is what ends up leading to {PositiveOutcome}, {PositiveOutcome}, and {PositiveOutcome}.
Mistake #2: {Mistake2}
A good {Role} can {GoodOutcome}.
A bad {Role} can {BadOutcome}.
But a legendary {Role} can {GiantOutcome}.
Don’t get it confused: a {GoodOutcome} is good, but it’s far from what makes the most difference.
Mistake #3: {Mistake3}
Until you’ve {Milestone}, don’t take your eye off the ball.
{”RelevantQuote”}.
To this day, I hang this quote up on my wall because it reminds me {Takeaway}.
Mistake #4: {Mistake4}
Traditional wisdom says {TraditionalWisdom}.
But that’s only true if you don’t do two things correctly:
{RightDecision1}
{RightDecision2}
Then, {TraditionalWisdom} works great.
Mistake #5: {Mistake5}
We all think we can {Decision}.
We all think we have unlimited {Resource}.
We all think we are immune to {Disaster}.
But the truth is, we’re not.
Which is why it’s much better to operate from first principles, and {RightDecision} from the very beginning."
Template #3: Category POV,"In your chosen category, share one commonly held belief most people think is true (but is actually false/wrong/outdated/misunderstood/etc.).
Next, describe the problem in detail. Explain to the reader why this commonly held belief is so prevalent in society, or how it became a commonly held belief in the first place. And finally, tell the reader what this commonly held belief has resulted in.
List off a few examples:
Example #1
Example #2
Example #3
Now, in this subhead, tell the reader the reason this belief is flawed.
And in this first sentence, give the reader a concrete reason.
In this paragraph, expand on your argument. Share a personal story, or a study or stat that gives credibility and context to your perspective. And finally, tell the reader what new and different result they can expect if and when they abandon this old, commonly held belief and adopt this new perspective you're providing instead.
Now, tell them how:
In this subhead, tell them how to shift their mindset from ""old"" to ""new.""
This first sentence is an actionable step they can take, right away.
Next, explain what they can expect as a result from shifting their mindset. What new advantages or benefits will they experience in their own life? Be specific, and paint a clear picture of the future.
Finally, in this subhead, tell the reader why the ""old"" is going away for good.
Bring them back to the beginning of the article, and drive home your point.
Give a few quick reasons why the ""old"" is on its way out, and this ""new"" way of thinking is the future. And to send them off, give them one final reminder/example of what this new future will look like—and why it will be so valuable for them to be part of it."
The World’s Most Valuable Skill Is {Skill}. Here Are 5 Frameworks To Help You Master It In Record Time,"The world’s most valuable skill is {Skill}.
Unfortunately, {Obstacle} keeps people from ever learning how to do it. They spend hours (and usually a ton of money) trying to learn {OldWay}, all the while failing to realize the world has changed. The {OldWay} isn’t relevant anymore—because now, in order to be successful, you have to {NewWay}.
I know, because I wasted {Time} and {Money} trying to learn this myself.
But, my loss is your gain.
Here are {X} {Topic} frameworks that will save you dozens of painful hours trying to learn {Skill} yourself:
{Name}’s {Topic} Framework
Hearing this completely changed the way I thought about {Topic}.
According to {Name}, all you have to do is:
{Step1}
{Step2}
{Step3}
{Name}’s {Topic} Framework
Hang this up in your room somewhere—and stare at it everyday.
{Tip1}
{Tip2}
{Tip3}
{Name}’s {Topic} Framework
I consider this the Bible of {Topic}.
{Strategy1}
{Strategy2}
{Strategy3}
{Name}’s {Topic} Framework
Struggling with {Obstacle}?
{Step1}
{Step2}
{Step3}
{Name}’s {Topic} Framework
Finally, this is how you achieve {Outcome}:
{Tip1}
{Tip2}
{Tip3}
These {X} frameworks completely changed the way I thought about {Skill}.
If only I had discovered them sooner…"
The {X}-Step Strategy That Turned {Name} Into The {Status} Of {Topic},"{Name} is the {Status} of {Topic}.
But despite being one of the most {Achievement} in the world, most people have no clue how they did what they did. And honestly, neither did I. So, I took it upon myself to binge over {X} {Assets} of theirs to study exactly how—and see if I could find a repeatable framework I could use myself to achieve {Outcome}.
{X} hours later, here’s what I learned:
Quick Stats About {Name}
Here are a few interesting data points to give you context, in case you're unfamiliar with {Name}:
{AchievementStat1}
{AchievementStat2}
{AchievementStat3}
{AchievementStat4}
Needless to say, they’re one of the best in the world at {Outcome}.
So... what can we learn?
{Name}’s {X}-Step Framework For Achieving {Outcome}
From my research, all their success can be boiled down to a very simple process:
{Step1}
{Step2}
{Step3}
Pair this framework with an unmatched work ethic and you get a potent combination for rapid growth.
Let's dig in:
Step 1: {Step1}
For {Name}, everything begins with {Step1}.
The reason is because {Reason}.
To do this, {Name} does the following:
{Tactic1}
{Tactic2}
{Tactic3}
Simple, but highly effective.
Step 2: {Step2}
The next thing {Name} focuses on is {Step2}.
They do this by {Tactic}, and sometimes even {Tactic}. This is what separates them from the competition, and makes them stand out so much compared to the average person. I consider this their “secret sauce.”
Which leads us to…
Step 3: {Step3}
But the real reason {Name} is so successful at {Outcome} is because they are obsessive about:
{Tactic}
{Tactic}
{Tactic}
This, combined with {Step1} and {Step2} is what makes them so successful.
So, give the above and try, and maybe you will be the next {Status} of {Topic}!"
Template: Don'ts & Dos,"In this first sentence, tell the reader what they shouldn't do if they want to achieve X.
Why not? Explain to the reader why they shouldn't do this thing if they want to achieve X. What will happen if they make this mistake? Get specific. What is going to happen to them, their life, their goals and dreams and aspirations, their family and sense of freedom? How bad can things get?
Now, quickly make a bulleted list of what ELSE might happen if they make this mistake.
• Example
• Example
• Example
• Example
Finally, in one bolded sentence, tell the reader how you made this very same mistake.
Now, show them. Show the reader how there was once a time when you didn't know what you are now explaining, and how you made this mistake. And using the above examples, show the reader how this mistake played out in your life. Get specific. What happened? What was the result of this mistake? What did you think was going to happen, and what happened instead?
Then, tell the reader, ""Which is why I want to share this with you.""
In one bolded sentence, tell the reader what they should do instead.
Tell the reader, if you could go back in time, what you would do differently. What should the reader do instead? You've established all that can go wrong when you make this previous decision, now show the reader what life can look like on the other side—when you make the right decision.
List off a few specific examples of how good life can be, and what can be unlocked as a result of this decision.
• Example
• Example
• Example
• Example
Finally, tell the reader why it matters so much to you for them to listen and learn from your mistakes. What do you want for the reader? Why is this so important?"
Want To Master {Topic}? Use These {X}{Topic}{Techniques} To Achieve {Outcome},"I have been in the {TopicIndustry} for {X} years.
During that time, I have {CredibilityStatement}. I have also {SecondCredibilityStatement}. In fact, I have invested so many hours into mastering my craft that I have {UnconventionalAchievement}.
But do you want to know a secret?
I actually use the same {X}{Techniques} every time.
{Technique} #1: {Name}
Here’s how it works:
{Step1}
{Step2}
{Step3}
This simple template allows you to achieve {Outcome}.
{Technique} #2: {Name}
Here’s how it works:
{Step1}
{Step2}
{Step3}
Quick note: Don't do {WrongStep}. That's a mistake. These steps work better.
{Technique} #3: {Name}
Here’s how it works:
Avoid doing {X}
Do {Y} instead
If you avoid {X} and do {Y}, you'll unlock {Z} outcome.
Easy, right?
{Technique} #4: {Name}
Here’s how it works:
{Step1}
{Step2}
{Step3}
Do these 3 things, and you'll be wildly successful.
{Technique} #5: {Name}
Here’s how it works:
{Tip1}
{Tip2}
{Tip3}
That’s it!"
Template: 5 Main Points,"In this first sentence, tell the reader what you are going to explain to them.
Next, break it down. Why is this important for the reader to understand? And what will happen to them as a result if they listen and learn from you? What benefits does this unlock in their life?
Now, let's dive in.
Main Point #1:
Tell the reader why this matters.
Now, tell them a quick story or give them a quick example so they can see it in action. What are things like for someone who doesn't do this vs someone who does? What's the mini transformation that can occur?
Main Point #2: 
Tell the reader why this matters.
Now, tell them a quick story or give them a quick example so they can see it in action. What are things like for someone who doesn't do this vs someone who does? What's the mini transformation that can occur?
Main Point #3: 
Tell the reader why this matters.
Now, tell them a quick story or give them a quick example so they can see it in action. What are things like for someone who doesn't do this vs someone who does? What's the mini transformation that can occur?
Main Point #1: 
Tell the reader why this matters.
Now, tell them a quick story or give them a quick example so they can see it in action. What are things like for someone who doesn't do this vs someone who does? What's the mini transformation that can occur?
Main Point #1: 
Tell the reader why this matters.
Now, tell them a quick story or give them a quick example so they can see it in action. What are things like for someone who doesn't do this vs someone who does? What's the mini transformation that can occur?
Finally, tell the reader what you hope for them.
And wish them well on their journey forward."
Template: Grocery List,"In order to achieve X, you're going to need a handful of things.
Tell the reader who you are, what you do, and why you are going to give them a Grocery List so they can do the same. Mention something that tells the reader you are a credible source of information. And then tell them why you feel so inspired to give them this Grocery List.
What do you hope they will be able to achieve as a result?
Thing #1
Tell the reader the first thing they need in order to be successful.
Now, tell them why. Get specific. What is it about this ""thing"" that is going to make all the difference? More importantly, what do they need to do with it? What instructions do they need in order to be successful here?
Thing #2
Tell the reader the first thing they need in order to be successful.
Now, tell them why. Get specific. What is it about this ""thing"" that is going to make all the difference? More importantly, what do they need to do with it? What instructions do they need in order to be successful here? 
Thing #3
Tell the reader the first thing they need in order to be successful.
Now, tell them why. Get specific. What is it about this ""thing"" that is going to make all the difference? More importantly, what do they need to do with it? What instructions do they need in order to be successful here? 
Thing #4
Tell the reader the first thing they need in order to be successful.
Now, tell them why. Get specific. What is it about this ""thing"" that is going to make all the difference? More importantly, what do they need to do with it? What instructions do they need in order to be successful here? 
Finally, give the reader some positive parting words, and let them know they can reach out to you with any questions!"
Template #2: How To Guide,"In this first sentence, tell the reader you're going to explain to them How To do.
Next, explain to the reader why they should want to learn how to do this thing. What benefits come with learning how to do this? What can they expect as an outcome or reward?
Now say, ""Unfortunately..."" and then tell the reader why so many people don't.
This first subhead is the primary reason why.
Now, list out 4-5 other reasons people don't learn How To or struggle to make actionable progress.
Reason #1
Reason #2
Reason #3
Reason #4
Finally, give the reader a sentence of hope: you're going to explain to them how they can overcome all these problems you just laid out!
Here's how, step by step:
Step 1: Tell the reader exactly what to do. Be specific!
In this first sentence, tell the reader why it's so important.
Next, give them a few quick examples. Either tell them how to do this in more detail, or maybe tell them a quick story of how someone else put this into action and what reward they unlocked as a result.
Step 2: Tell the reader exactly what to do. Be specific!
Now, in this first sentence, tell the reader where so many go wrong when it comes to this second step.
Next, give a few quick examples. Explain why, in more detail, this is a mistake so many people make. And then, tell the reader what they need to do to avoid it.
Step 3: Tell the reader exactly what to do. Be specific!
In this first sentence, motivate the reader by telling them of the light at the end of the tunnel.
Explain what this step, and the others before it, all ladder up to. Be specific, and give the reader hope as to what they can expect as a result of taking these steps."
